year,a320_family_deliveries,source_type
1988,16,reported
1989,58,reported
1990,58,reported
1991,119,reported
1992,111,reported
1993,71,reported
1994,64,reported
1995,56,reported
1996,72,reported
1997,127,reported
1998,168,reported
1999,222,reported
2000,241,reported
2001,257,reported
2002,236,reported
2003,233,reported
2004,233,reported
2005,289,reported
2006,339,reported
2007,367,reported
2008,386,reported
2009,402,reported
2010,401,reported
2011,421,reported
2012,455,reported
2013,493,reported
2014,490,reported
2015,491,reported
2016,545,reported
2017,558,reported
2018,626,reported
2019,642,reported
2020,446,reported
2021,483,reported
2022,516,reported
2023,571,reported
2024,602,reported
2025,607,reported
